company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.3,AI,B,"ter and more precisely, competing relentlessly to win new relationships while maintaining rigorous control of fraud and risk. In today’s digitised, AI-led world, consumer expectations are higher than ever. Consumers demand services that are personalised, intelligent and deeply relevant to their c",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.3,AI,B,"ntage. We manage some of the deepest and scarcest data assets in the world, assets that sit at the crux of the global economy and financial system. AI represents a generational opportunity, one that will disproportionately reward those best positioned to harness it. In this environment, the strate",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.3,AI,B,"l disproportionately reward those best positioned to harness it. In this environment, the strategic value of data only increases. We are embedding AI more deeply across our products, platforms and operations, accelerating innovation to create meaningful new value for our clients and consumer mem",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.5,GenAI,A,"turn on investment, paying for itself in less than a year. Watch the video Find out more about how Experian leverages AI to drive opportunities GenAI Strategic report",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.5,AI,B,"ng our strong performance in detecting first-party fraud across account opening, credit applications, transaction authorisation and disputes. Our AI-powered Experian Assistant for Model Risk Management has been recognised with the 2026 BIG Innovation Award, underscoring how our advanced AI cap",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.5,AI,B,"rer how lenders interpret a credit report and what steps can help improve a score. 3m+ 183% Experian Virtual Assistant (EVA), our agentic consumer AI assistant, has been helping over three million consumers since launch in the USA, UK and Colombia to get personalised interactions. The capabiliti",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.6,AI,B,"t supports critical financial and commercial decision-making. We maintain proprietary, large-scale data assets, advanced decisioning software, and AI-enabled analytics that help people and organisations make better decisions at speed and scale. Individuals use Experian to understand, protect and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.6,AI,B,"d marketing, our capabilities sit at the heart of high-frequency, high-integrity decisions that power modern economies – increasingly augmented by AI to deliver faster insights, automation and more personalised outcomes. Our business activities Business-to-Business Our B2B activities help organi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.6,AI,B,"es our Financial Services business and our Verticals businesses in Automotive, Healthcare and Marketing Services, where our data, software, and AI-enabled analytics integrate directly into client workflows to support decisioning, risk management, fraud prevention and customer engagement at s",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.6,AI,B,"inancial health. We bring together credit information, affordability insights, identity protection and personalised offers in a single experience. AI increasingly enhances how we do this – helping deliver more relevant insights, proactive guidance and tailored recommendations. As trust and enga",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.7,AI,B,07 Experian plc Annual Report 2026 Strategic report We power decisions with trusted data and AI-driven insights We invest in our people because that’s where great decisions start How we make a difference How we add value for stakeholders We a,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.8,AI,B,"le our services play in modern economies. As Brian highlights in his report, we stand now at the threshold of a generational opportunity. The rise of AI is a pivotal moment in time, and it ushers in technology which Experian is supremely well positioned to take advantage of. In a world where trusted",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.9,AI,B,"ment supports financial inclusion, reinforces stakeholder trust and underpins long-term sustainability. 5. Positioned to lead in the next phase of AI-driven growth Artificial intelligence enhances the strategic value of our data assets and expands our addressable opportunity. Our differentiated p",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Experian,EXPN,,EXPN_company_annual_report_current_fy2026.pdf,p.9,AI,B,"lt on irreplicable data sourced from thousands of contributors, safeguarded within highly regulated, compliance- intensive markets. We are embedding AI across our B2B and consumer propositions to enable faster, more automated credit, fraud and identity decisions, enhancing both performance and cust",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
