staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SMT-REJ-001,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.6,AI,B,1,"h the Companies Act 2006. Strategic report Statement from the Chair Introduction Global equities performed well in 2024, largely due to advances in AI and semiconductor demand. However, the start of 2025 has been marked by volatility, particularly due to geopolitical tensions and economic polici",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-002,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.7,AI,B,1,"daptability, and innovation. In a volatile world, resilience is a strategic advantage, allowing companies to adapt and emerge stronger. The rise of AI and digital platforms is reshaping industries, driving operational leverage and creating new market opportunities. Your Managers’ focus remains on",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-003,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.8,AI;generative AI,A;B,5,"ranslating into tangible results. The Rise of AI and the Shifting Shape of Value Few developments this year were more consequential than the rise of generative AI. The conversation has moved quickly from theory to practice. We see its impact most clearly in software engineering, where productivity is already ||| emerging stronger. Margins have widened. Free cash flow has accelerated. Many of the themes we’ve followed for a decade such as digital platforms, AI, electrification and personalised medicine are translating into tangible results. The Rise of AI and the Shifting Shape of Value Few developments th ||| s to work. Several have increased output without increasing engineering headcount. Others have launched new products with surprisingly lean teams. AI is not a distant promise. It is driving real operational leverage today. How should we, as investors, respond to such a powerful, yet hard-to-quan ||| ors, respond to such a powerful, yet hard-to-quantify force? Our largest holding at the start of the year, NVIDIA, sits at the heart of the current AI boom. Its dominance in training large AI models is unmatched. However, to be truly transformational, we believe AI must become ubiquitous—and that ||| vailing valuations, the risk/reward looked more balanced than we prefer. Many of the themes we’ve followed for a decade such as digital platforms, AI, electrification and personalised medicine are translating into tangible results. Artificial intelligence is driving real operational leverage tod",no,no,vague_general_ai_reference,DUPG-001,rejected,,
SMT-REJ-004,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.9,AI,B,6,"nities to drive its revenue growth today using this technology. Last year the company noted an 8% increase in time spent on Facebook as a result of AI driven content recommendations to its users. The performance of its stock reflected that progress. Spotify, likewise, is emerging as one of the mo ||| performance of its stock reflected that progress. Spotify, likewise, is emerging as one of the most efficient scaled platforms in the world using AI to personalise content discovery, improve advertising targeting and, potentially, to create a broader content ecosystem. Both were among the stron ||| mong the strongest contributors to returns. We initiated a new position in TSMC, recognising that compute demand will remain structurally strong as AI moves from the training phase to deployment at scale. The appetite for semiconductors across datacentres, vehicles, devices and infrastructure con ||| ith a far leaner and more productive infrastructure. Its margins have increased and it has ample cashflow to make the necessary investments for an AI-led future. Shopify, too, made a conscious shift by offloading capital-intensive logistics infrastructure while refocusing on its core mission of ||| ntinue. In a recent internal memo, CEO Tobi Lütke stated that before requesting additional headcount or resources, teams must first demonstrate why AI cannot fulfil the required tasks. Amazon’s investments during the pandemic have transformed it into a more efficient, profitable company, ready for ||| not fulfil the required tasks. Amazon’s investments during the pandemic have transformed it into a more efficient, profitable company, ready for an AI-driven future. © RONNY HARTMANN / Getty Images",no,no,vague_general_ai_reference,DUPG-002,rejected,,
SMT-REJ-005,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.10,AI,B,2,"AND FINANCIAL STATEMENTS 2025 STRATEGIC REPORT 08 In the digital infrastructure layer, Cloudflare has the potential to be a foundational enabler of AI services. In the past two years it has combined this potential with a sharp improvement in the profitability of its internet services business. Th ||| ten down and offers hard lessons about capital-intensive ventures and the importance of execution in manufacturing. Beyond the US While much of the AI revolution is being led by US companies, we continue to believe that innovation is geographically diffuse and that great companies are being built",no,no,vague_general_ai_reference,DUPG-003,rejected,,
SMT-REJ-006,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.13,AI,B,1,"ng? This lens helps us remain invested in companies like SpaceX, which once seemed speculative but now dominates commercial space launch. Or Tempus AI, where the promise of genomic data to personalise cancer treatment continues to evolve. Or Stripe which has grown from an obscure internet payment",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-007,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.16,artificial intelligence,B,1,"ontributes 70% of Amazon’s operating profit. Nvidia started out producing graphics chips for PC gamers before investing heavily and presciently in artificial intelligence. Mercadolibre started as a Latin American e-commerce platform. However, to reduce the friction of completing transactions when few people had cred",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-008,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.17,AI,B,1,"early, focusing on efficiency and profitability. At the same time, both still invested in new growth areas, with Meta spending billions to develop AI tools such as its large-language AI model Llama, whilst Spotify entered into the audiobook market. I remember visiting Mercadolibre in Uruguay in",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-009,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.21,artificial intelligence,B,1,"long-term profitability. Cloudflare, Inc. Objective We met with chief executive officer (CEO) Matthew Prince to discuss how Cloudflare is embracing Artificial Intelligence, its ambitions to improve CPU and GPU utilisation rates, and what growth rates we should expect from here. Long-term stewardship sits at the heart",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-010,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.22,AI,B,4,"ANNUAL REPORT AND FINANCIAL STATEMENTS 2025 STRATEGIC REPORT 20 Discussion Workers AI is Cloudflare’s serverless AI platform, which enables developers to run machine learning models on Cloudflare’s global network of GPUs. Prince view ||| scalers). If Cloudflare is able to replicate this utilisation uplift with its GPU network, it will be in a position to offer its customers cheaper AI inferencing. Additionally, because workloads are run locally, they will be faster and more compliant with local data laws. Admittedly, there are ob ||| of adoption is harder to ascertain and as such Cloudflare’s capital expenditure commitments to date have been relatively modest. They are treating AI as they would other opportunities, building capacity to meet demand rather than ahead of demand. If executed well, the inferencing market could ul ||| tivity and is now in a position to increase headcount, which should see growth reaccelerate. Outcome This meeting helped us further understand how AI is likely to impact Cloudflare’s future growth prospects and the pace at which we should expect the company to invest in this opportunity. The com",no,no,vague_general_ai_reference,DUPG-004,rejected,,
