company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.6,AI,B,"subdued growth, trade realignments and continued geopolitical and macro-economic shifts, alongside a changing labour market and the acceleration of AI. Our industry, like many others, has not been immune to these external forces. Competitive and regulatory complexity, coupled with evolving consum",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.9,AI,B,"with Accenture 2 . By transitioning our Global Shared Services to Accenture, we now benefit from their cutting-edge technology ecosystem, advanced AI solutions, and strategic collaborations with world-leading companies. These capabilities are enabling us to simplify processes, accelerate speed t",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.9,AI,B,"dium to long term. In addition, our collaborations in R&D with global leading companies, and the establishment of the first Consumer Packaged Goods AI lab with DIFC in Dubai, are clear examples of how we are proactively seeking expertise to innovate and strengthen our capabilities. We remain comm",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.15,AI,B,our resources as effectively as possible. 2 4 7 8 9 10 11 12 14 6 U O D Move Moving our products seamlessly everywhere Technologies including AI and machine learning help us to get our products to the right place at the right time. Our products are sold across the world and distributed eff,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.18,AI,B,"ngagement with our people worldwide – Board review of, and feedback on, workforce engagement – Training and development programmes, including on AI – Introduction of our inclusive culture strategy – Delivery with Integrity programme Principal risk impact – Competition from illicit trade – To",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.23,AI,B,"tnership with Accenture – an example of our digital transformation in action. This partnership gives us access to Accenture’s technology ecosystem, AI solutions and its strategic collaboration with technology companies. These capabilities will help us to further simplify our processes, accelerate",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"cultural and social trends. We continue to respond to this changing environment by developing and advancing our strategy and long-term priorities. AI and Optimisation Artificial intelligence (AI) continues to transform how businesses operate, make decisions and engage with consumers. The integra",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"imisation Artificial intelligence (AI) continues to transform how businesses operate, make decisions and engage with consumers. The integration of AI across product design, logistics and marketing has accelerated, delivering efficiency gains, deeper insights and more tailored experiences. Yet the",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"esign, logistics and marketing has accelerated, delivering efficiency gains, deeper insights and more tailored experiences. Yet the full extent of AI’s benefits is still being realised. While some applications remain experimental or, in some cases, potentially overstated, others are already gener",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"ional structures. As demand for digital and analytical skills grows, companies are rethinking talent strategies, upskilling employees and embedding AI into daily operations to boost performance and engagement. Those that adapt early are likely to capture significant productivity and innovation ga",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"engagement. Those that adapt early are likely to capture significant productivity and innovation gains. Smarter decisions and empowered consumers AI is enabling businesses to anticipate consumer needs and optimise product design, sustainability and quality. While consumers are using AI to discov",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"quality. While consumers are using AI to discover, compare and assess products, making informed, data-driven choices. The growing intersection of AI and personal health technology is also shaping behaviour. From wearable devices and digital health assistants to personalised wellness recommendati",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"ology is also shaping behaviour. From wearable devices and digital health assistants to personalised wellness recommendations, consumers are using AI to better understand and manage their wellbeing. For the nicotine industry, these developments could influence how adult consumers seek information",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.24,automation,B,"entially overstated, others are already generating measurable productivity improvements and reshaping competitive dynamics. A changing workforce Automation and intelligent systems are redefining roles and organisational structures. As demand for digital and analytical skills grows, companies are rethin",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.41,AI,B,"partnership, we are transitioning our Global Shared Services to Accenture, which gives us access to Accenture’s cutting-edge technology ecosystem, AI solutions and its strategic collaboration with world-leading companies. These capabilities will help us to further simplify our processes, accelera",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.41,AI,B,"o the challenges of an ever- changing external environment, we continue to invest in technology to be a more efficient and effective business, with AI-enabled, data-driven systems and ways of working to match. Under the Operational Excellence pillar of our refined corporate strategy, three focus a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.41,AI,B,"will be key to driving progress: optimising our manufacturing operations; reducing complexity in our ways of working and processes, including using AI and data- enabled technology; and our Global Business Services (GBS) Centres of Excellence. At-scale operations We have a global manufacturing fo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.87,automation,B,"biomass boiler complements a suite of other decarbonisation measures already in place at the Jhelum site, including on-site solar generation, HVAC automation, smart building analytics, and ducting upgrades. Decarbonising our operations Renewable-powered manufacturing facility In the Port of Trieste, I",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.92,AI,B,"ssions on pages 100 to 102 Deploying digital climate solutions to improve efficiency and resilience Empowering data-driven agriculture: Unlocking AI for optimal crop performance Climate change is increasingly impacting crop yields. To address this, we have launched an in- house crop prediction",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.101,AI,B,"ely 20 terabytes of data were generated, comprising over 500 days of audio recordings, 160,000 images, and 21,000 drone files. Leveraging advanced AI developed by our partner, t his raw data is processed to identify species before being validated by a network of local and international experts.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.177,AI,B,"lar penetration testing and incident simulations. Specialised programmes address emerging risks areas, such as operational technology security and AI governance. Strategic investments in cyber security capabilities are guided by annual planning cycles and informed by external benchmarking. BAT A",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.188,AI,B,"s our organisation. SoBC compliance is reinforced with training, which in 2025 focused on our Responsible Marketing Principles, responsible use of AI, fostering an inclusive culture and respect in the workplace, together with a Group-wide SoBC sign-off process at the end of each year. Our SoBC i",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.191,AI,B,"rmation, Digital & Technology (IDT) strategy to drive productivity through strategic partnerships, digital capabilities build, responsible use of AI and cyber security resilience, including oversight of the cyber security incident response plan. Reviewing the Group risk register and risk appet",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.197,AI,B,"est indicated by colleagues across the organisation to make effective use of emerging technologies. The programme is designed to build foundational AI capabilities across the Group, coupled with training on responsible and ethical use of AI to support appropriate application. – Fostering a cultur",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.201,generative AI,A,"Board Effectiveness During 2025, key briefings for the Board included an in-depth review of generative AI led by the Director, Digital & Information, with insights from external advisers. This covered the growth of generative AI to date and looking ahea",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
British American Tobacco,BATS,,BATS_company_annual_report_current_fy2025_2026-02.pdf,p.201,generative AI,A,"advisers. This covered the growth of generative AI to date and looking ahead to 2035, business impacts and key use cases, the approach to enabling generative AI across the Group and considerations for the Board, including efficiency opportunities and governance to promote its responsible and ethical use. T",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
