company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.10,AI,B,"ns standards and new solutions to improve our network. Our R&D hubs in Malaga and Dresden have further developed our technology in Open RAN, IoT, and AI solutions. Connected devices – The world is becoming more connected, driven by new devices across all sectors. This connectivity extends b",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.10,AI,B,"gic- partnership Watch our Vodafone Business investor briefing: investors.vodafone.com/vbbriefing Generative artificial intelligence (‘Gen AI’) – Gen AI adoption has surged, with 65% of organisations using it in at least one business function, nearly double from the previous year – Common",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.10,AI,B,"on has surged, with 65% of organisations using it in at least one business function, nearly double from the previous year – Common use cases include AI-generated recommendations, hyper-personalised marketing content, and software development. Enterprises are investing in Gen AI for customer service c",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.10,AI,B,"cross industries, boosting productivity and opening new business opportunities Learn more about how Vodafone works with artificial intelligence (‘AI’): investors.vodafone.com/artificial- intelligence Digital payments – Businesses in Europe are migrating sales channels online, driv",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.10,AI,B,"are transitioning too, often needing network operator assistance – Demand for fast, secure connectivity with low latency is driving cloud adoption. AI and edge computing will enhance cloud capabilities, crucial for digital transformation Watch our Vodafone Technology investor briefing: investors",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.15,AI,B,"are transitioning too, often needing network operator assistance – Demand for fast, secure connectivity with low latency is driving cloud adoption. AI and edge computing will enhance cloud capabilities, which is crucial for digital transformation Generative artificial intelligence (‘Gen AI’)",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.15,AI,B,"ge computing will enhance cloud capabilities, which is crucial for digital transformation Generative artificial intelligence (‘Gen AI’) – Gen AI adoption has surged, with 65% of organisations using it in at least one business function, nearly double from the previous year – Common use cases i",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.15,AI,B,"on has surged, with 65% of organisations using it in at least one business function, nearly double from the previous year – Common use cases include AI-generated recommendations, hyper-personalised marketing content, and software development. Enterprises are investing in Gen AI for customer service c",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.15,AI,B,ade. Vodafone’s partnership with Microsoft further gives us the potential to access new technologies such as Generative Artificial Intelligence (‘Gen AI’) and to deploy these at scale for IoT. The opportunity for Vodafone M-Pesa is Africa’s leading mobile money service and largest FinTech pl,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Vodafone Group,VOD,,VOD_company_annual_report_current_fy2025.pdf,p.15,AI,B,"ying a key role in the evolving cloud technology landscape. The opportunity for Vodafone Vodafone is strategically positioned to deploy Gen AI at industry-leading speed and scale. By leveraging deep partnerships with Google and Microsoft, Vodafone can enhance customer satisfaction through hy",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
