company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.10,artificial intelligence,B,"term structural drivers including energy security, electrification and the rapid expansion of emerging technologies including those that leverage artificial intelligence and the associated investments in infrastructure including data centres. At the same time, the supply side remains challenged globally. Declinin",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.11,automation,B,"strategic enabler We continue to focus on innovation initiatives that strengthen our competitiveness and resilience throughout the cycle such as automation, digitalisation, integrated remote operating centres and advanced analytics, to improve safety, productivity and cost stability. In parallel, we",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.14,AI,B,"represent central themes in 2026 and beyond. Energy security and electrification remain key drivers, reinforced by emerging technologies such as AI, smart grids and data centres. China continues to be the largest source of global copper demand, accounting for more than half of global consumpt",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.14,AI,B,"is transition. In 2025, as global electricity use continued to rise, copper demand continued to track this growth. Emerging technologies, including AI, data centres and automation, are providing emerging sources of copper demand. The rise of AI and machine learning has driven a surge in data cen",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.18,AI,B,"Programme $115m Savings and productivity gains (FY25 target: $100 million) Innovation initiatives +90 Innovation initiatives as of 2025, including AI and advanced analytics Growth projects >50% Construction progress achieved as of Q4 2025 at Centinela Second Concentrator Project F or more inform",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.19,AI,B,"Programme $115m Savings and productivity gains (FY25 target: $100 million) Innovation initiatives +90 Innovation initiatives as of 2025, including AI and advanced analytics Growth projects >50% Construction progress achieved as of Q4 2025 at Centinela Second Concentrator Project T o read more on",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.25,AI,B,nting a trolley-assist system on a trial basis (see case study on page 57) as part of its electrification efforts. Plant debottlenecking using AI Maximising SAG mill operating time through statistical analysis. A SIRO (Integrated System of Operational Recommendations) was deployed at Los Pela,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.25,machine learning,B,"ployed at Los Pelambres’ SAG mill in 2025, with the aim of optimising grinding by identifying and minimising operational constraints. The system’s machine learning increased unconstrained SAG mill operating hours by approximately 4% compared to 2024, directly boosting throughput and reducing process variabilit",uncertain,low,Stage B broader-recall term 'machine learning' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.25,automation,B,"irst round of robotic maintenance was completed successfully, with plans to introduce two additional robots in 2026, further expanding the scope of automation. During the first maintenance cycle, two robots were deployed, one on each side of the mill, reducing worker exposure to high-risk tasks and shor",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Antofagasta plc,ANTO,,ANTO_company_annual_report_current_fy2025_2026-03.pdf,p.27,machine learning,B,"e shovel at Centinela, along with implementation at Antucoya, helping the Group to realise similar gains across the portfolio. Efficiency gains via machine learning Recommendations powered by machine learning, lifting copper output. In 2025, Centinela implemented its SIRO treatment system (MINCO) to optimise con",uncertain,low,Stage B broader-recall term 'machine learning' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
