staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
IAG-REJ-001,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.21,AI,B,1,"ood, efficient operations and employing and training our people. We are also investing in the latest technology, such as artificial intelligence (AI), and SAF. 29.5 pts NPS We are committed to rewarding our shareholders. Offering a sustainable, progressive dividend delivers a regular, reliable",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail. Confirmed genuine no-disclosure company for generative AI specifically -- IAG Transform team is reported (via search, not used as evidence) to be 'testing' generative AI among several innovation technologies, but no such disclosure was found directly in either annual report."
IAG-REJ-002,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.25,AI,B,1,"customers for remote aircraft slots • Enhanced digital capabilities and communications: All airlines are leveraging new technologies, in particular AI, to improve customer experience, including Live Flight Status added to the Aer Lingus app. Iberia launched real-time omnichannel and automated dela",no,no,vague_general_ai_reference,,rejected,,
IAG-REJ-003,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.26,AI,B,1,"structured development programmes, mentoring, competency frameworks and succession planning • Invested in future-ready skills through the Group-led AI Academy, with certified AI champions empowering teams to adopt innovative technologies responsibly and effectively Strategic Report Corporate Gov",no,no,vague_general_ai_reference,,rejected,,
IAG-REJ-004,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.29,AI,B,1,"such as UK Air Passenger Duty and EU VAT revision • Digitalisation, including data-driven border control, digital mobility platform oversight and AI integration in aviation • Supply chain pressures, impacts of the war in Ukraine and the Middle East and related sanctions • The Government Affairs d",no,no,vague_general_ai_reference,,rejected,,
IAG-REJ-005,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.46,AI,B,2,"the disability community – such as by chairing IATA’s global Accessibility Working Group – to improve outcomes for customers. Digitalisation and AI trends 2025 marked significant progress in digital market regulation for aviation. Following the August 2024 EU AI Act, EASA proposed new rules fo ||| 2025 marked significant progress in digital market regulation for aviation. Following the August 2024 EU AI Act, EASA proposed new rules for safe AI integration. EU and UK regulators increased oversight of digital mobility to promote fair competition and consumer protection. In March, the Euro",no,no,vague_general_ai_reference,DUPG-001,rejected,,
IAG-REJ-006,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.50,AI,B,1,"er base and launching new commercial initiatives such as ancillary bundling, new distribution capability and enhanced loyalty at speed. As we scale AI-powered fuel-efficiency measures, complete our supplier optimisation pipeline and expand data and AI automation alongside our retail and personalis",no,no,ordinary_automation,,rejected,,
IAG-REJ-007,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.54,AI,B,1,"nt benefits across revenue, operations and customer experience.” Lynne Embleton Chair and Chief Executive Officer of Aer Lingus Aer Lingus deploys AI to optimise engine maintenance This project shows how Aer Lingus and IAG use AI to work smarter, embrace new technologies and build a more flexible",no,no,vague_general_ai_reference,,rejected,,
IAG-REJ-008,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.55,AI,B,1,"including Salesforce, Databricks and Connected Crew. Our Data Driven Organisation programme equipped employees with skills in data, analytics and AI. Ground operations, maintenance and engineering teams have embraced new ways of working that are delivering real results. Our commitment to a new",no,no,vague_general_ai_reference,,rejected,,
IAG-REJ-009,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.62,AI;artificial intelligence,B,2,"to the IAGi Accelerator for 2025 – our biggest group yet in the programme’s nine-year history, with almost all participating startups leveraging AI technologies – ranging from computer vision for baggage tracking to AI models for optimising network planning. I’m really excited to see how our ||| ted transformation arm within the Group. IAG Transform is not just an organisation – it’s a mindset. Our expertise spans procurement, technology, artificial intelligence, innovation and change management. We’re here to help our operating companies think bigger, move faster and become the best, not just better. Tr",no,no,vague_general_ai_reference,DUPG-002,rejected,,
IAG-REJ-010,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.63,AI;automation,B,2,"tement International Airlines Group | Annual Report and Accounts 2025 61 IAGi Accelerator programme, showcasing more than 30 global startups across AI, automation, sustainability and travel-tech innovators. Improving our baggage strategy Across the aviation industry in 2024, an average of 6.3 ||| se and work towards a more reliable baggage experience. In collaboration with British Airways, we introduced three initiatives aimed at improving automation, enhancing cost efficiency and creating a smoother journey for customers – all while supporting better NPS scores: 1. Baggage biometrics By combin",no,no,ordinary_automation,DUPG-003,rejected,,
