company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.5,artificial intelligence,B,"on how we prioritise, manage risk, grow and generate future value. Focus areas in 2025 spanned brand growth; the effective and responsible use of artificial intelligence; in-depth analysis of our operations and performance across our three regions; talent attraction and Company culture; and our approach to cyberse",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.10,AI,B,"st Love; outperformed key competitors on Guest Satisfaction Index in all three regions. – Elevated guest experience through new destinations and AI-powered technology. – New and continued loyalty partnerships and experiences. – Enhanced award-winning mobile app, which achieved nine million dow",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.16,AI,B,"ite of technology is deepening loyalty to our brands and sharpening our competitive edge. We are driving advantages from artificial intelligence (AI) across our entire enterprise, including improved guest experiences, customer acquisition and hotel performance. Examples of this include our rev",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.16,machine learning,B,"guest experiences, customer acquisition and hotel performance. Examples of this include our revenue management system incorporating data science, machine learning and forecasting tools to deliver advanced insights and recommendations along with enhancements to our IHG One Rewards mobile app that are unlocki",uncertain,low,Stage B broader-recall term 'machine learning' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.19,AI,B,uppliers on our cloud-based platforms: our Guest Reservation System is helping maximise guest choice and owner value across our global estate; an AI-powered revenue management system is incorporating leading forecasting tools to drive top-line revenue in every eligible IHG hotel globally; and n,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.19,AI,B,"eepen loyalty with our guests, and a new digital content platform to support owners in showcasing their hotels more effectively in an increasingly AI-driven world. We are embedding AI across our technology eco-system to elevate guest experiences, customer acquisition and hotel performance, whil",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.22,generative AI,A,"ctor. AI technologies are redefining the end-to-end travel purchase journey and enhancing the operational capabilities of accommodation providers. Generative AI is providing inspiration to a broad range of travellers, gaining particular traction among younger travellers and those in Asia. Meanwhile, advan",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.22,AI,B,"ng fundamentals. Despite the current backdrop of macro-economic uncertainty, intent to travel remains high. Continued technological advancement in AI is changing consumer behaviours and expectations, and transforming operations across the hospitality landscape. Meanwhile, the growing attractive",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.22,AI,B,"ss and potential of Asian and Middle Eastern markets, alongside the emergence of experience- driven consumers, is redefining global travel demand. AI transforming travel Our responses include: – Embedding AI into core operating platforms, including: – deploying a new revenue management system tha",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IHG Hotels & Resorts,IHG,,IHG_company_annual_report_current_fy2025_2026-02.pdf,p.22,AI,B,"travel Our responses include: – Embedding AI into core operating platforms, including: – deploying a new revenue management system that leverages AI to deliver advanced insights and recommendations to owners; and – developing an AI-enabled CRM platform to empower corporate and hotel teams wit",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
