staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
RTO-REJ-001,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.6,AI,B,1,"Alongside these are strong regional and local brands. We have a strong track record of differentiated innovation in both Pest Control, such as AI-enabled connected technologies, and Hygiene & Wellbeing. We are building our expertise in digital and AI to drive real business outcomes. We perf",no,no,vague_general_ai_reference,,rejected,,
RTO-REJ-002,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.11,AI,B,1,". We have responded to the evolving digital landscape with increased investment in our brand websites to ensure their positioning is optimised for AI-generated search answers. In an industry where business is won locally, city by city, we have continued the roll-out of smaller, local branches thr",no,no,vague_general_ai_reference,,rejected,,
RTO-REJ-003,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.12,AI;Gemini;generative AI,A;B,9,"ellbeing with exciting opportunities ahead. These include investments in field-based technology such as in-field camera optics in our rodent traps, generative AI to support our customers and to lower our costs, and maximising our routes to market through optimised AI search. Investing in our people and buildi ||| ta capabilities, elevating the use of data and AI through the organisation down to the branch level to support decision making with the roll-out of Gemini for Google Workspace to our c.63,400 global workforce. In just six months, colleagues used Gemini AI on over one million occasions to support their ||| ore on pages 50 and 51 COLLEAGUES, CUSTOMERS AND AI AI PRODUCTIVITY Core AI integration Rentokil Initial is actively integrating AI, particularly Gemini AI, into its operations. This strategic adoption aims to enhance efficiency and productivity across the business. We launched Google Gemini AI as a ||| festations. The Optix service has now been launched in five countries. SPOTLIGHT ON: INNOVATION AND TECHNOLOGY c.63,400 Colleagues have access to Gemini AI >100 AI agents and chatbots in development AI EFFICIENCY AI SERVICE INNOVATION 12 Rentokil Initial plc Annual Report 2025 ||| workforce. In just six months, colleagues used Gemini AI on over one million occasions to support their work and we have launched our own in-house AI platform, known internally as RatGPT, which currently has over 100 AI agents in development to help us grow and become more efficient. We’re commit ||| ation, with North America the largest user region. Outcomes-driven AI agents and chatbots We have also developed and begun to roll-out a proprietary AI Portal to create company-specific AI agents. This provides a single, secure repository of multiple industry-standard Large Language Models (LLMs), ||| ltiple industry-standard Large Language Models (LLMs), allowing colleagues to choose the right model for different tasks, and includes custom-made AI chatbots and agents. To date, around 100 AI agents and chatbots are in development across areas such as technician training, HR queries, IT support ||| cross areas such as technician training, HR queries, IT support, national accounts support, sales entry, brand compliance, SOX and cash allocation. AI service innovation Rentokil Initial has also deployed AI in its latest service innovation, PestConnect Optix for rodent control. Motion-detection ca ||| s capture and transmit images back to Rentokil technicians and, so far this year, 4.1 million images have been processed and analysed by Rentokil’s AI model, enabling a faster response to potential infestations. The Optix service has now been launched in five countries. SPOTLIGHT ON: INNOVATION A",no,no,vague_general_ai_reference,DUPG-001,rejected,,
RTO-REJ-004,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.13,automation,B,1,"siness in North America and build a more efficient organisation, moving some of our support functions to Global Capability Centres and investing in automation. We have a target to deliver a cost reduction in North America of c.$100m in 2027 compared to an inflation-adjusted 2024 base and deliver operatin",no,no,ordinary_automation,,rejected,,
RTO-REJ-005,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.13,Bedrock,A,1,"e solid foundations of people, culture, colleague engagement, commitment to customer service, innovation and leading technology which have been the bedrock of this company for 100 years and will be the cornerstone of its future success. In the last 10 years we have grown Revenue and profit at a compoun",no,no,vague_general_ai_reference,,rejected,,
RTO-REJ-006,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.15,AI,B,1,"more efficient and cost-effective solutions – for example, through our penetration of connected devices and monitoring, increasingly incorporating AI – improving our ability to upsell additional products and service lines. Operational excellence Operational excellence underpins our business mode",no,no,vague_general_ai_reference,,rejected,,
RTO-REJ-007,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.17,AI,B,2,"s provide customers with more efficient products and services while ensuring our operations remain as sustainable as possible. We are incorporating AI to improve how we deliver services and to do so more efficiently. Our scale enables us to invest in new digital technologies that enhance service ||| re efficiently. Our scale enables us to invest in new digital technologies that enhance service in a customer-centric way. Digital technologies and AI are increasingly deployed across our businesses to enhance our colleagues’ experience, further improving efficiency and insight. Provide excellent",no,no,vague_general_ai_reference,DUPG-003,rejected,,
RTO-REJ-008,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.27,AI,B,2,"pesticides. A Growing impact of technological advancements Digital technologies – including remote monitoring, connected cameras, drones, apps and AI – are improving the efficiency and effectiveness of pest control. These tools enable continuous monitoring, early detection and optimised treatmen ||| re improving the efficiency and effectiveness of pest control. These tools enable continuous monitoring, early detection and optimised treatment. AI in particular is set to transform the pest control industry through more accurate pest identification, predictive analytics for infestation risks,",no,no,vague_general_ai_reference,DUPG-004,rejected,,
RTO-REJ-009,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.28,AI,B,1,"We have supported our regional brands by updating around 800 webpages, providing detailed and useful information for customers, and optimised for AI. Across our major brands we have launched over 400 new branch, metro and state pages to drive up local performance and conversion. These initiative",no,no,vague_general_ai_reference,,rejected,,
RTO-REJ-010,Rentokil Initial,RTO,Rentokil Initial Annual Report 2025,RTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.29,AI,B,2,"pment concept. The winning entry was for Rentokil’s innovative SMART Pest Control solutions, specifically the PestConnect Optix cameras, which use AI-powered connected camera devices to provide 24/7 pest monitoring and management for real-time pest detection and identification. AWARD-WINNING OP ||| ovide customers with more efficient products and services, while ensuring our operations remain as sustainable as possible. We are also integrating AI to enhance service delivery and further improve efficiency. Innovation as a growth enabler and differentiator Our innovative services enable us to",no,no,vague_general_ai_reference,DUPG-005,rejected,,
