finding_id,company,ticker,sector,source_ids,finding_name,finding_type,evidence_quotation_or_summary,page_or_section,employee_training,responsible_ai_framework,human_involvement_discussed,privacy_discussed,accuracy_or_hallucination_discussed,environmental_limitation_discussed,reason_excluded_from_operational_count,coded_by,coded_date,notes
AZN-GOV-001,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-004,"AZN-004 document-level ""Great promise with some limitations"" finding",document_level_governance_discussion,"""human intellect and brain power will always be required to properly use them"" (human involvement); ""Finding ways to preserve ownership of data and navigate data privacy"" (privacy); ""avoid so-called hallucinations -- the phenomenon where AI algorithms and deep learning neural networks produce outputs that are not real..."" (accuracy/hallucination); ""Adapting the workforce and hiring talent dedicated to developing generative AI models and properly leveraging their output"" (training); ""following principles for using data and AI ethically"" (responsible AI); ""Considering the amount of energy needed to generate new models from a sustainability perspective"" (environmental)","""Great promise with some limitations"" section",yes,yes,yes,yes,yes,yes,"Document-level discussion of generative-AI limitations and enablement across the whole AZN-004 article; not attributed to any individual task or use case, so it is not itself an operational deployment.",claude_code,2026-07-15,"Governance/enablement context applies to AZN-004 generally, not to any single coded use case; not carried into individual AZN-UC-004x rows' risk/control fields."
AZN-GOV-002,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-005;AZN-001,"""Thriving in the Age of AI"" workforce upskilling programme",workforce_training_initiative,"""Over 12,000 employees have participated to date, achieving Bronze, Silver, and Gold-level certifications"" (AZN-005); ""more than 50,000 employees participated"" (AZN-001, CEO Review); ""As one of the first pharmaceutical companies to publish principles for AI and Data Ethics, we are ensuring the safe, ethical, and effective use of AI"" (AZN-005)","AZN-005 full press release; AZN-001 CEO Review, p.5",yes,yes,unclear,unclear,unclear,unclear,"A workforce enablement/training initiative about generative AI broadly, not a specific business task performed using generative AI -- does not describe a discrete use case.",claude_code,2026-07-15,Kept out of the operational dataset per Core Rule 2 (general AI/upskilling discussion does not itself constitute a generative-AI use case).
TSCO-GOV-001,Tesco,TSCO,Food & drug retailing,TSCO-001,Safeguards and responsible use (p.42),document_level_governance_discussion,"ple providing appropriate training to help prevent cyber-security incidents, as well as communicating the opportunities and safeguards while using artificial intelligence tools. Top down Bottom up Board Audit Committee Group Chief Executive and Executive Committee Group risk and compliance committee* Business and fu",p.42,yes,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging TSCO-GOV-001 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Genuinely concerns safeguards for AI tool use. Repeated disclosure of the same governance theme as AR2024 p.32 (TSCO-GOV-004) -- not merged at this stage since they occur in distinct annual reports.
TSCO-GOV-002,Tesco,TSCO,Food & drug retailing,TSCO-001,Ai governance framework (p.45),document_level_governance_discussion,"g technology platforms and infrastructure, upskilling our team and attracting new talent. Enhanced governance is provided through technology and AI focused committees. – The enhancement of our technology infrastructure and platforms to improve resilience continues at pace. Significant invest",p.45,no,yes,unclear,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging TSCO-GOV-002 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Genuinely concerns the AI governance group/committee and responsible use of AI.
TSCO-GOV-003,Tesco,TSCO,Food & drug retailing,TSCO-001,Ai governance framework (p.69),document_level_governance_discussion,"se and values. Technology updates provide an overview of operational stability, technical capability, transformation, cyber security and the use of AI in our business. Our dedicated cyber security programme has clearly defined governance, oversight and structured training processes. Updates provi",p.69,yes,yes,unclear,no,unclear,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging TSCO-GOV-003 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Genuinely concerns the AI governance framework and cyber-security governance/oversight.
TSCO-GOV-004,Tesco,TSCO,Food & drug retailing,TSCO-002,Safeguards and responsible use (p.32),document_level_governance_discussion,"ple providing appropriate training to help prevent cyber security incidents, as well as communicating the opportunities and safeguards while using artificial intelligence tools. Risk management framework Principal risks and uncertainties * In addition to the Group risk and compliance committee, there are other interna",p.32,yes,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging TSCO-GOV-004 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Genuinely concerns safeguards for AI tool use. Repeated disclosure of the same governance theme as AR2025 p.42 (TSCO-GOV-001) -- not merged at this stage since they occur in distinct annual reports.
TSCO-GOV-005,Tesco,TSCO,Food & drug retailing,TSCO-002,Ai governance framework (p.68),document_level_governance_discussion,"community and planet. As new techniques and uses emerge, we are exploring how they could be adopted to deliver on our purpose. We have developed an AI governance framework to ensure that any AI technologies utilised by the business are fair, safe, transparent, explainable, accountable and sustaina",p.68,no,yes,unclear,no,unclear,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging TSCO-GOV-005 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Genuinely concerns the AI governance framework.
TSCO-GOV-006,Tesco,TSCO,Food & drug retailing,TSCO-003,Ai governance framework (p.57),document_level_governance_discussion,"munities and planet. As new techniques and uses emerge, we are exploring how they could be adopted to deliver on our purpose. We have developed an AI governance framework to ensure that any AI technologies utilised by the business are implemented are fair, safe, transparent, explainable, account",p.57,no,yes,no,no,unclear,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,"Promoted from staging TSCO-GOV-006 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Genuinely concerns the AI governance framework, consistent with the equivalent annual-report disclosures."
BT-GOV-001,BT Group,BT.A,Telecommunications services,BT-004,Ai enablement platform and guardrails (not_applicable),document_level_governance_discussion,"2024 | 00:01 Europe/London BT Group’s Digital Unit launches ‘GenAI Gateway’ platform, powered by AWS, accelerating the company’s safe adoption of generative AI at scale The GenAI Gateway, a generative AI enablement platform, built in collaboration with AWS, enables BT Group to tap into the power of GenAI wi",not_applicable,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,"Promoted from staging BT-GOV-001 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive safe-GenAI-Gateway governance: prompt security, central privacy controls, per-use-case billing/access control, guardrails against jailbreak/toxic interactions, LLM-agnostic model governance."
BT-GOV-002,BT Group,BT.A,Telecommunications services,BT-001,Safeguards and responsible use (p.31),document_level_governance_discussion,ucts and services are used for good. So we focus on protecting privacy and free expression and preventing online harms. This year we: – developed AI guidance for our people to help them manage AI risks and stay in line with regulation. – refreshed our Consumer Data Principles to make sure we ma,p.31,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging BT-GOV-002 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive: 'developed AI guidance for our people to help them manage AI risks and stay in line with regulation' -- genuine responsible-AI enablement content.
