staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
III-REJ-001,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.15,automation,B,1,"anagement, enterprise resource planning software as well as managed services and cloud solutions. xSuite provides accounts payable invoice process automation applications. Evernex maintains IT equipment that is critical for customers’ business continuity. Luqom, VakantieDiscounter and Konges Sløjd benef",no,no,ordinary_automation,DUPG-005,rejected,,
III-REJ-002,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.15,artificial intelligence,B,1,"ions. It is also intertwined with climate change and is a precondition to many of the available decarbonisation pathways. The rapid development of artificial intelligence is accelerating these trends, creating opportunities not previously possible. However, the benefits of this shift are not evenly distributed. Certa",no,no,vague_general_ai_reference,DUPG-006,rejected,,
III-REJ-003,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.57,GenAI,A,1,"ormal specialist training on areas and skills including presentation and communication skills, procurement and maximisation of portfolio potential, GenAI and science-based emissions reduction targets. We also offered executive coaching for some employees. Our investment executives regularly receive",no,no,vague_general_ai_reference,,rejected,,
III-REJ-004,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.85,artificial intelligence,B,1,"meeting. In FY2025, the GRC covered the following: • a review of the Group’s IT framework including cyber security, systems developments, the use of artificial intelligence tools, IT provider concentration risk, and IT resilience; • an update on the Group’s business continuity and resilience planning and testing, inclu",no,no,vague_general_ai_reference,DUPG-007,rejected,,
III-REJ-005,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.87,artificial intelligence,B,1,"eflecting greater digital-dependency and use of online platforms within 3i and certain large portfolio companies, and a heightened and increasingly artificial intelligence enabled threat landscape. The Group’s principal risk mitigation plans, which are subject to regular review by the GRC, have not required any notabl",no,no,vague_general_ai_reference,,rejected,,
III-REJ-006,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.89,artificial intelligence,B,1,"ed on the GRC’s assessment. During the year, cyber risks was promoted from the watch list to a principal risk and broadened to include the impact of artificial intelligence technology. The other risks on the watch list are unchanged from last year and have continued to evolve. These include: • external environment – U",no,no,vague_general_ai_reference,,rejected,,
III-REJ-007,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.114,GenAI;generative AI,A,2,"he global macro-economic climate and current geopolitical uncertainties, to delivering growth through buy-and-build and the latest advancements in Generative AI. We held a CTO Forum with 25 CTOs from across our private equity and infrastructure portfolio. Discussions explored the importance of IT in busines ||| e portfolio. Discussions explored the importance of IT in business strategy and delivering a successful ERP transformation, as well as sessions on GenAI and cybersecurity. We also held a CTO Artificial Intelligence webinar where colleagues shared progress and learnings on the GenAI landscape. We are",no,no,vague_general_ai_reference,DUPG-001,rejected,,
III-REJ-008,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.115,GenAI;generative AI,A,2,"he global macro-economic climate and current geopolitical uncertainties, to delivering growth through buy-and-build and the latest advancements in Generative AI. We held a CTO Forum with 25 CTOs from across our private equity and infrastructure portfolio. Discussions explored the importance of IT in busines ||| e portfolio. Discussions explored the importance of IT in business strategy and delivering a successful ERP transformation, as well as sessions on GenAI and cybersecurity. We also held a CTO Artificial Intelligence webinar where colleagues shared progress and learnings on the GenAI landscape. We are",no,no,vague_general_ai_reference,DUPG-002,rejected,,
III-REJ-009,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.120,generative AI,A,1,"the senior management team who in turn arrange, as required, visits to investment or support teams. In the year, Directors received presentations on Generative AI and the economic outlook, in addition to presentations given by the CEOs and Private Equity investment teams of a number of portfolio companies. T",no,no,vague_general_ai_reference,DUPG-008,rejected,,
III-REJ-010,3i,III,3i Group plc Annual Report 2025,III_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.121,generative AI,A,1,"the senior management team who in turn arrange, as required, visits to investment or support teams. In the year, Directors received presentations on Generative AI and the economic outlook, in addition to presentations given by the CEOs and Private Equity investment teams of a number of portfolio companies. T",no,no,vague_general_ai_reference,DUPG-009,rejected,,
