company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.5,AI,B,"conomic benefit to be realised through such measures. L&G must also respond to emerging trends, including developments in Artificial Intelligence (AI). In 2026, we plan to introduce AI-powered features to some of our customer facing platforms with the aim to enhance customer experience through",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.5,AI,B,"ustomer facing platforms with the aim to enhance customer experience through personalisation, faster service, and more intuitive digital journeys. AI is an opportunity for the Group to improve its customer service, while also being a growing investment proposition. Strong financial performance",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.7,AI,B,"- t i m e support to build stronger l o n g - t e r m r e t i r e m e n t outcomes, and boost financial confidence earlier in life. Our new ‘AI for Business Value’ programme modernises our focus on the skills and technologies that assist our competitive position, upskilling colleagues t",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.7,AI,B,"ness Value’ programme modernises our focus on the skills and technologies that assist our competitive position, upskilling colleagues to deploy AI where it can drive the greatest efficiency and impact. Enhanced Returns Strong fundamentals and capital discipline to drive shareholder returns L&",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.8,AI,B,ogress in reducing complexity and focusing resources where we can deliver the strongest returns. Our collaboration with Microsoft to introduce an AI enabled customer service platform will improve the experience for our Retail customers and increase operational efficiency. We also launched a re,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.24,AI,B,"announced our collaboration with Microsoft to digitalise our customer support platform. Customer interactions with colleagues will be enhanced by AI-enabled agentic assistance, and we are reducing complexity for our employees by unifying our platforms so customer queries can be resolved faster",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.32,AI,B,"downgraded, and investments prove ineffective resulting in loss. Institutional Retirement Asset Management Retail Disruptive technology, including AI, impacting the value of investments. Increased frequency and severity of extreme weather events or increased nature loss, impacting on the value of",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.48,generative AI,A,"nts remains apprised of the AI landscape across all our jurisdictions. We have been actively engaged in numerous consultations in relation to AI and generative AI, including the FCA’s recent 'Mills Review'. Outlook We continue to invest in automation and AI to enhance operational efficiency and deliver bette",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.48,AI,B,"s in which we operate. We continuously monitor the factors that may impact the markets in which we operate. We have responded to rapid advancement in AI capabilities, developed both in-house and provided by third parties, through the development of a Central AI Inventory and intake process that tria",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Legal & General,LGEN,,LGEN_company_annual_report_current_fy2025.pdf,p.48,AI,B,"abilities, developed both in-house and provided by third parties, through the development of a Central AI Inventory and intake process that triages AI Use Cases according to their AI Risk level, facilitating proportionate second line AI Risk oversight. This is facilitated by ongoing work from the A",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
