staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
PRU-GOV-001,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"ions of our technology and operations to better deliver for our customers. We are working to develop and embed near-term commercial applications of AI, exploring its longer-term transformation potential, and scaling responsibly within robust cybersecurity, data protection and ethical governance fr",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-002,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.68,AI,B,3,"luated via appropriate governance channels for ethical considerations and that associated risks are well managed. An oversight forum for the use of AI is also in place to ensure compliance with the AI Ethics Principles adopted by the Group with the aim to ensure the safe use of AI. Employees are a ||| inciples adopted by the Group with the aim to ensure the safe use of AI. Employees are also regularly reminded of the paramount importance of these AI ethics across all markets, while we engage in ongoing dialogues and cooperative initiatives with our regulators. Prudential’s AI governance and eth ||| e initiatives with our regulators. Prudential’s AI governance and ethics principles are available at https://www.prudentialplc.com/en/site-services/ai- statement We continue to observe a rise in malware and ransomware threats and the Group continues to maintain and, where appropriate, enhance defe",no,no,ai_governance_framework,DUPG-004,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-003,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.68,AI,B,1,"hat are technologically advanced, secure, ethically sound, and socially responsible. With our customers at the core of our operations, we apply our AI Ethics Principles in everything we do. These principles apply to both our own and third-party solutions, ensuring that every AI system and innovati",no,no,safeguards_and_responsible_use,DUPG-025,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-004,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.82,AI,B,1,". Prudential seeks to consider potential risks and negative outcomes, and proactively build risk mitigation governance practices, when implementing AI technologies to mitigate these unintended effects, The markets for financial services are highly competitive, with a number of factors affecting P",no,no,ai_governance_framework,DUPG-026,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-005,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.83,generative AI,A,1,"ew and currently unforeseeable regulatory, reputational and operational issues may also arise from the increased use of emerging technology such as generative AI which requires careful consideration and guardrails established to enable its safe use. Regulatory developments in cyber security and data protecti",no,no,safeguards_and_responsible_use,DUPG-027,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-006,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.93,AI,B,1,strategy planning for the longer term; how the Board considers capital allocation and the creation of shareholder value; the use of technology and AI; and the Board’s strategy on non- core assets. Shareholders also asked about strategy in key markets and questions on operational and governance top,no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-007,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.97,AI,B,1,"ation and the American Council of Life Insurers, contributing to policy discussions on systemic risk, climate related supervision, protection gaps, AI governance and the Insurance Capital Standard. How the Board engages and communicates During 2025, the Risk Committee oversaw the progress of the",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-008,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.112,AI,B,1,"such as footprint reduction, inclusive products and services, stronger supplier standards, and responsible use of data and Artificial Intelligence (AI). We also convene and contribute, bringing emerging-market perspectives to global conversations. Through partnerships and thought leadership, we",no,no,safeguards_and_responsible_use,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-009,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.180,AI,B,1,"ing across the Group (including to ensure a diverse talent pipeline) (Sustainability and Nomination & Governance Committees). – Continue to focus on AI, technology, data and cyber risks and controls (Audit and Risk Committees). – Further refining agendas in order to allocate more time to the most sig",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-010,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.190,AI,B,1,"ber attacks on other companies. We have strengthened our technology governance, with particular focus on foundational technology controls, data and AI. Key activities and other regular activities are described overleaf. Jeremy Anderson Chair of the Risk Committee Key committee activities in 2025 M",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-011,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.193,AI,B,1,"and – Corporate Governance developments. 2026 priorities – Continue Board succession planning, with particular focus on expertise in technology and AI; – Continued focus on increasing diversity in Board composition; and – Supporting a smooth transition of the Chair. 1 9 1 P r u d e n t i a l p l c",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-012,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.210,AI,B,1,"ntributing to policy discussions on macroprudential supervision, systemic risk, climate-related aspects, protection gaps, artificial intelligence (AI) governance and Insurance Capital Standard. Through participation in IAIS-led events, Prudential helped shape emerging international standard sett",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-013,Prudential plc,PRU,Prudential plc Annual Report 2024,PRU_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.58,AI,B,1,"mental, social and governance (ESG) and climate-related) and technology innovation- related (including machine learning and artificial intelligence (AI), data security, privacy and cyber resilience) risks, which can potentially impact the Group both financially and reputationally given evolving st",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-014,Prudential plc,PRU,Prudential plc Annual Report 2024,PRU_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.70,AI,B,2,"annels for ethical considerations and that associated risks are well managed. Employees are regularly reminded of the paramount importance of these AI ethics across all markets, while we engage in ongoing dialogues and cooperative initiatives with our regulators. Prudential’s AI governance and eth ||| e initiatives with our regulators. Prudential’s AI governance and ethics principles are available at https://www.prudentialplc.com/en/site-services/ai-statement We continue to observe a rise in malware and ransomware threats and the Group continues to maintain and, where appropriate, enhance defen",no,no,ai_governance_framework,DUPG-014,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
PRU-GOV-015,Prudential plc,PRU,Prudential plc Annual Report 2024,PRU_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.70,AI,B,1,"vices that are technologically advanced, ethically sound, and socially responsible. With our customers at the core of our operations, we apply our AI Ethics Principles in everything we do. These principles apply to both our own and third-party solutions, ensuring that every AI system and innovati",no,no,safeguards_and_responsible_use,DUPG-025,governance,accept," REVIEW: genuine AI-governance disclosure (AI Ethics Principles, oversight forum)."
