staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
AAL-REJ-001,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.2,AI,B,1,"ones, electric vehicles and household appliances to solar panels, wind turbines, data centres and the systems that power artificial intelligence (AI). They build our homes, offices, railways and airports, and will help feed a healthier and growing global population. Simply put, our products mov",no,no,vague_general_ai_reference,DUPG-010,rejected,accept,"REVIEW: representative example of this rejection category (predictive/ordinary AI -- hyperspectral cameras, computer vision for core logging), logged for the audit trail."
AAL-REJ-002,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"odern life – from smartphones, electric vehicles and household appliances to solar panels, wind turbines, data centres and the systems that power AI. They build our homes, offices, railways and airports, and will help feed a healthier and growing global population. Simply put, our products move",no,no,vague_general_ai_reference,DUPG-012,rejected,,
AAL-REJ-003,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.29,AI,B,2,"le cost and performance outcomes over time. » For more information on our Lean approach at Minas-Rio See our case study on page 29 Our approach to AI Operational excellence is strengthened when data and predictive insights are available. Our central technical function holds our digital portfoli ||| elationships with strategic partners, allowing us to share best analytical practices and apply consistent process improvements across our assets. AI is pivotal to our approach, unlocking operational value, improving productivity and enabling quicker, more informed decisions across our business.",no,no,vague_general_ai_reference,DUPG-001,rejected,,
AAL-REJ-004,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.30,AI;artificial intelligence;generative AI;machine learning,A;B,6,"peed up resource definition, by reducing the time to create a lithology log by around 90%. Industrial systems can be complex, so we are employing generative AI against our internal knowledge stores to better inform and train our people on the ground. Generative AI also accelerates analytical analysis and ||| AI tools supporting operational excellence We continue to invest in a range of productivity and mining-specific tools designed to support our three pi ||| . digital twins) so that we can better understand and optimise the complex dynamics at play within our value chains. Elsewhere, the use of advanced AI predictive maintenance tools in particular has yielded significant results in our efforts to ensure consistent process improvement work through b ||| programmes, to ultimately ensure our use of AI is responsible and value-accretive across the whole of our business. » For more information on the AI Centre of Excellence and Information Management See our case study on page 31 28 Anglo American plc Integrated Annual Report 2025 Strategic Report ||| ng (ACL) reduces the time to create a lithology log by up to 90%. Pictured: Clytie Tamanikwa, team assistant (left), and Tristram Graham, principal, artificial intelligence, view on-screen digital core sample data. ||| ith our mine plans, while remaining focused on identifying the most value-accretive opportunities for each of our sites. In core logging, advanced machine learning is achieving remarkable results. This previously labour-intensive process has been revolutionised by hyperspectral cameras and computer vision to",no,no,vague_general_ai_reference,DUPG-003,rejected,correct,REVIEW: over-consolidated row; the genuine generative-AI (internal-knowledge-store/analytical) content was split out as AAL-STR-002. Marked 'correct' (excluded from rejected promotion).
AAL-REJ-005,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.33,AI;generative AI,A;B,7,"loss, inaccurate outputs, ethical concerns, cyber threats and regulatory non-compliance. Additionally, an emerging technology team is focusing on generative AI tools, prioritising mining-specific use cases which will generate a return on investment. This is supplemented with learning programmes to ensure ||| We are embracing the potential of artificial intelligence (AI) and other technologies with a clear purpose: to enhance how we work, support our strategy and deliver real value. AI is particularly well suited ||| ve. Artificial Intelligence Centre of Excellence We have been at the forefront of digitalising the mining sector for many years. Our adoption of AI builds on our previous investments and continued support of digitalisation programmes, including those led by our data and product teams. As we s ||| g-specific use cases which will generate a return on investment. This is supplemented with learning programmes to ensure individuals and teams use AI in an effective and responsible manner. Supported by the AI CoE, AI is helping us deliver safer, more reliable and more efficient operations acro ||| ed by the AI CoE, AI is helping us deliver safer, more reliable and more efficient operations across Anglo American. A people-centred approach to AI Aligned with our Purpose and Values, our approach to AI is responsible, thoughtful and people-centred – and the AI CoE ensures our adoption of AI ||| nce and problem-solving ability that drives progress and ensures our operations are not just safe and efficient, but responsible and sustainable. AI amplifies human insight, enhances safety and unlocks new ways of working. By combining world-class talent with cutting-edge technology, we are sh ||| ty and unlocks new ways of working. By combining world-class talent with cutting-edge technology, we are shaping a future where our workforce and AI collaborate to create lasting value for our business, the communities where we operate and our planet. Anglo American plc Integrated Annual Repor",no,no,vague_general_ai_reference,DUPG-005,rejected,correct,REVIEW: over-consolidated row; corroborating generative-AI content used together with AAL-REJ-004 to author AAL-STR-002. Marked 'correct' (excluded from rejected promotion).
AAL-REJ-006,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.35,AI,B,1,"gies available, we are working on a refreshed data model and analytics strategy. This will enable core data capture and reporting systems to adopt AI tools which will automate analytic insights that inform our data-driven decision-making approach. Expanding our global mental health resources In",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-007,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.44,AI,B,2,"00 Mt today to more than 2 billion tonnes in the coming decades. The most prominent recent manifestation of this dynamic is in the rapid growth of AI, the widespread use of which requires not only significant amounts of power and power infrastructure, but also large quantities of metals – parti ||| of which requires not only significant amounts of power and power infrastructure, but also large quantities of metals – particularly copper – in AI data centres themselves. 42 Anglo American plc Integrated Annual Report 2025 Strategic Report Portfolio optimisation Anglo American’s Impact Financ",no,no,vague_general_ai_reference,DUPG-006,rejected,,
AAL-REJ-008,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.46,AI,B,1,"ses in electricity demand – driven by rising living standards, the electrification of key end-use sectors and by the emergence of widespread use of AI – will therefore result in strong demand growth for copper in the coming decades. Premium Iron Ore Steel is the foundation of a modern economy. It",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-009,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.56,artificial intelligence,B,1,"lo Teck will be one of the world’s top producers of copper – critical for the global energy transition, the proliferation of data centres to power artificial intelligence, and improving living standards across the world – offering investors more than 70% exposure to this coveted metal. From the outset, the combined",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-010,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.103,AI,B,1,"lence Awards also recognised the operation’s digital-leading approach with a Mining Technology Innovation Award for harnessing use of automation, AI and robotics. In Chile, our Rural Water Programme won the 2025 Circular Awards’ Water Challenge category, recognising the innovative and locally t",no,no,ordinary_automation,,rejected,,
AAL-REJ-011,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.116,AI,B,1,"structures are reshaping portfolio priorities and long-term price assumptions. Rapid technological shifts, such as battery-chemistry innovations, AI- driven infrastructure growth and evolving decarbonisation pathways, add uncertainty around which commodities will dominate future markets. Anglo",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-012,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.117,AI,B,2,"ry faces an ageing workforce, declining mining engineering enrolments, and rising demand for digital and automation expertise as operations adopt AI and integrate ESG practices into core business processes and decision-making. Workforce expectations for flexibility and diversity add complexity ||| ity and ensuring operational readiness remain priorities to sustain competitiveness and deliver future projects. – Technology evolution (including AI). Rapid technological change, including AI and automation, is transforming mining operations. Autonomous systems and AI- driven optimisation offer",no,no,ordinary_automation,DUPG-007,rejected,,
AAL-REJ-013,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2025,AAL_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.201,AI,B,1,"minerals supply chain. While in Beijing, the Board toured the Xiaomi Auto factory, showcasing China’s advancements in electric mobility, robotics, AI and data-driven manufacturing. The Board also had the opportunity to meet with Daye Nonferrous Metals Group, one of our key smelter customers in Ch",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-014,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.2,AI,B,1,"ones, electric vehicles and household appliances to solar panels, wind turbines, data centres and the systems that power artificial intelligence (AI). They build our homes, offices, railways and airports and will help feed a healthier and growing global population. Simply put, our products move",no,no,vague_general_ai_reference,DUPG-010,rejected,,
AAL-REJ-015,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.3,AI,B,1,"ones, electric vehicles and household appliances to solar panels, wind turbines, data centres and the systems that power artificial intelligence (AI). They build our homes, offices, railways and airports and will help feed a healthier and growing global population. Simply put, our products move",no,no,vague_general_ai_reference,DUPG-011,rejected,,
AAL-REJ-016,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.30,automation,B,1,"enhance our operational resilience. 28 Anglo American plc Integrated Annual Report 2024 Strategic Report Operational excellence Case Study Graduate automation engineer Isabella Taylor is part of the team in the control room, where industry-leading real-time monitoring and effective critical controls help",no,no,ordinary_automation,,rejected,,
AAL-REJ-017,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.31,AI;automation,B,2,"gned to advance the automation of our operations and support our three key focus areas within operational excellence. This includes the use of Gen AI to surface embedded knowledge from our control systems, and various AI/ML models deployed toward optimising individual components through to opti ||| enhance our operational resilience. 28 Anglo American plc Integrated Annual Report 2024 Strategic Report Operational excellence Case Study Graduate automation engineer Isabella Taylor is part of the team in the control room, where industry-leading real-time monitoring and effective critical controls help",no,no,ordinary_automation,DUPG-008,rejected,,
AAL-REJ-018,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.31,AI;generative AI,A;B,2,"help us navigate these disciplines: Machine robotics and AI – focused on harnessing robotics (e.g. drones, quadrupeds, etc.), machine learning and generative AI to deliver value and further enable safe and stable production at our operations. Artificial Intelligence Centre of Excellence – focused on AI go ||| der to leverage these insights to disseminate best practices and drive consistent process improvement work across our assets. Our use of advanced AI predictive maintenance tools has yielded significant results in our efforts to ensure consistent process improvement work through best-in-class me",no,no,vague_general_ai_reference,DUPG-009,rejected,,
AAL-REJ-019,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.44,artificial intelligence,B,1,"le power generation infrastructure and EVs powered by batteries and fuel cells – in improving living standards and in the facilities required for artificial intelligence. To support higher living standards alone, the installed stock of copper in the global economy must increase. In the developed world, there is c.",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-020,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.45,artificial intelligence,B,1,"le power generation infrastructure and EVs powered by batteries and fuel cells – in improving living standards and in the facilities required for artificial intelligence. To support higher living standards alone, the installed stock of copper in the global economy must increase. In the developed world, there is c.",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-021,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.47,AI,B,1,"d memory chips, which can improve data processing because the metal enhances energy efficiency — an increasingly crucial factor as the demand for AI and data processing grows. Diamonds As the world’s largest and most competitive natural diamond producer, our iconic diamonds business – De Beers",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-022,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.54,AI,B,1,"rt Growth Case Study Copper is vital in the development of low-carbon technologies, in improving living standards and in the facilities required for AI.",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-023,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.55,AI,B,1,"rt Growth Case Study Copper is vital in the development of low-carbon technologies, in improving living standards and in the facilities required for AI. Discovery Discovery and Geosciences, including our exploration activities, is consolidated and centrally co-ordinated, covering near-asset and g",no,no,vague_general_ai_reference,,rejected,,
AAL-REJ-024,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.190,artificial intelligence,B,1,"y risks. Response of the Audit Committee During the course of 2024, the Committee reviewed work to mitigate information technology risk, cyber risk, artificial intelligence risk, and marketing and trading risks. The Committee evaluated the work being performed, progress made and provided challenge to satisfy itself that",no,no,audit_analytics,,rejected,,
AAL-REJ-025,Anglo American plc,AAL,Anglo American plc Integrated Annual Report 2024,AAL_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.193,automation,B,1,"t policies and ethical standards, implementing strong internal controls such as segregation of duties and approval thresholds, using technology and automation to detect anomalies, promoting ethical procurement practices, and encouraging whistleblowing to report suspicious activities. The Ethics Complianc",no,no,ordinary_automation,,rejected,,
