duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Auto Trader Group,AUTO-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.8) of AUTO_company_annual_report_current_fy2025_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Auto Trader Group,AUTO-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.14) of AUTO_company_annual_report_current_fy2025_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Auto Trader Group,AUTO-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.17) of AUTO_company_annual_report_current_fy2025_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Auto Trader Group,AUTO-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.21) of AUTO_company_annual_report_current_fy2025_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Auto Trader Group,AUTO-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.71) of AUTO_company_annual_report_current_fy2025_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Auto Trader Group,AUTO-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.73) of AUTO_company_annual_report_current_fy2025_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Auto Trader Group,AUTO-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.89) of AUTO_company_annual_report_current_fy2025_2025-05.pdf describe the same audit analytics theme and were consolidated into one row.,yes,,
DUPG-008,Auto Trader Group,AUTO-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.6) of AUTO_company_annual_report_previous_fy2024_2024-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Auto Trader Group,AUTO-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.54) of AUTO_company_annual_report_previous_fy2024_2024-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Auto Trader Group,AUTO-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.58) of AUTO_company_annual_report_previous_fy2024_2024-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Auto Trader Group,AUTO-REJ-010;AUTO-REJ-021,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.66,Passages in AUTO_company_annual_report_current_fy2025_2025-05.pdf and AUTO_company_annual_report_previous_fy2024_2024-07.pdf are textually very similar (difflib ratio 0.66).,yes,,
DUPG-012,Auto Trader Group,AUTO-REJ-014;AUTO-REJ-025,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.92,Passages in AUTO_company_annual_report_current_fy2025_2025-05.pdf and AUTO_company_annual_report_previous_fy2024_2024-07.pdf are textually very similar (difflib ratio 0.92).,yes,,
DUPG-013,Auto Trader Group,AUTO-REJ-015;AUTO-REJ-024,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.94,Passages in AUTO_company_annual_report_current_fy2025_2025-05.pdf and AUTO_company_annual_report_previous_fy2024_2024-07.pdf are textually very similar (difflib ratio 0.94).,yes,,
